city,year,count
BAKERSFIELD,2007,132
BAKERSFIELD,2008,1117
BAKERSFIELD,2009,1015
BAKERSFIELD,2010,1596
BAKERSFIELD,2011,2434
BAKERSFIELD,2012,2109
BAKERSFIELD,2013,1090
BAKERSFIELD,2014,542
BAKERSFIELD,2015,229
CALIFORNIA CITY,2007,680
CALIFORNIA CITY,2008,2234
CALIFORNIA CITY,2009,2049
CALIFORNIA CITY,2010,2855
CALIFORNIA CITY,2011,1636
CALIFORNIA CITY,2012,839
CALIFORNIA CITY,2013,394
CALIFORNIA CITY,2014,1
CHULA VISTA,2007,8
CHULA VISTA,2008,28
CHULA VISTA,2009,18
CHULA VISTA,2010,14
CHULA VISTA,2011,16
CHULA VISTA,2012,8
CHULA VISTA,2013,5
CHULA VISTA,2014,3
CHULA VISTA,2015,2
CONCORD,2008,1
CONCORD,2011,3
CONCORD,2013,1
CONCORD,2014,1
DELANO,2007,576
DELANO,2008,1866
DELANO,2009,943
DELANO,2010,870
DELANO,2011,1248
DELANO,2012,888
DELANO,2013,496
DELANO,2014,365
DELANO,2015,184
EL CAJON,2012,1
EL CAJON,2014,1
LEMON GROVE,2012,1
MARTINEZ,2007,84
MARTINEZ,2008,499
MARTINEZ,2009,343
MARTINEZ,2010,793
MARTINEZ,2011,896
MARTINEZ,2012,541
MARTINEZ,2013,533
MARTINEZ,2014,509
MARTINEZ,2015,128
MCFARLAND,2007,64
MCFARLAND,2008,210
MCFARLAND,2009,147
MCFARLAND,2010,162
MCFARLAND,2011,74
MCFARLAND,2012,45
MCFARLAND,2013,48
MCFARLAND,2014,36
PLEASANT HILL,2011,1
PLEASANT HILL,2012,6
PLEASANT HILL,2013,1
RICHMOND,2007,21
RICHMOND,2008,106
RICHMOND,2009,160
RICHMOND,2010,249
RICHMOND,2011,85
RICHMOND,2012,41
RICHMOND,2013,45
RICHMOND,2014,12
RICHMOND,2015,1
SAN DIEGO,2007,690
SAN DIEGO,2008,3400
SAN DIEGO,2009,3286
SAN DIEGO,2010,3205
SAN DIEGO,2011,2218
SAN DIEGO,2012,1606
SAN DIEGO,2013,1281
SAN DIEGO,2014,880
SAN DIEGO,2015,402
SAN FRANCISCO,2007,281
SAN FRANCISCO,2008,1198
SAN FRANCISCO,2009,1422
SAN FRANCISCO,2010,1558
SAN FRANCISCO,2011,1630
SAN FRANCISCO,2012,955
SAN FRANCISCO,2013,578
SAN FRANCISCO,2014,424
SAN FRANCISCO,2015,107
SANTEE,2007,76
SANTEE,2008,259
SANTEE,2009,256
SANTEE,2010,344
SANTEE,2011,274
SANTEE,2012,161
SANTEE,2013,98
SANTEE,2014,38
SANTEE,2015,40
SHAFTER,2007,25
SHAFTER,2008,114
SHAFTER,2009,48
SHAFTER,2010,88
SHAFTER,2011,27
SHAFTER,2012,1
SHAFTER,2014,4
TAFT,2007,262
TAFT,2008,939
TAFT,2009,704
TAFT,2010,690
TAFT,2011,1293
TAFT,2012,1276
TAFT,2013,1841
TAFT,2014,1002
TAFT,2015,273
TEHACHAPI,2007,236
TEHACHAPI,2008,815
TEHACHAPI,2009,497
TEHACHAPI,2010,421
TEHACHAPI,2011,399
TEHACHAPI,2012,145
TEHACHAPI,2013,39
TEHACHAPI,2014,46
TEHACHAPI,2015,20
VISTA,2007,795
VISTA,2008,2859
VISTA,2009,2120
VISTA,2010,1643
VISTA,2011,1180
VISTA,2012,867
VISTA,2013,796
VISTA,2014,848
VISTA,2015,396
WASCO,2007,197
WASCO,2008,643
WASCO,2009,414
WASCO,2010,428
WASCO,2011,723
WASCO,2012,910
WASCO,2013,594
WASCO,2014,468
WASCO,2015,227
