year_month,count
2007-10,13680
2007-11,12793
2007-12,12651
2008-01,15511
2008-02,17266
2008-03,19649
2008-04,20770
2008-05,19172
2008-06,20488
2008-07,21244
2008-08,19159
2008-09,20023
2008-10,19669
2008-11,17690
2008-12,17436
2009-01,18612
2009-02,19074
2009-03,21466
2009-04,20320
2009-05,21612
2009-06,22441
2009-07,23700
2009-08,23480
2009-09,22772
2009-10,22091
2009-11,20799
2009-12,20580
2010-01,22313
2010-02,21532
2010-03,25418
2010-04,25246
2010-05,26210
2010-06,26246
2010-07,28129
2010-08,26683
2010-09,25057
2010-10,25434
2010-11,24853
2010-12,23998
2011-01,25243
2011-02,24822
2011-03,28475
2011-04,26829
2011-05,27666
2011-06,27826
2011-07,27376
2011-08,28717
2011-09,26108
2011-10,25625
2011-11,23633
2011-12,22646
2012-01,24606
2012-02,24208
2012-03,24855
2012-04,24469
2012-05,24550
2012-06,22862
2012-07,24003
2012-08,23496
2012-09,21577
2012-10,21821
2012-11,18780
2012-12,17651
2013-01,17820
2013-02,16155
2013-03,18257
2013-04,18716
2013-05,18510
2013-06,16996
2013-07,17564
2013-08,17674
2013-09,16786
2013-10,17140
2013-11,14975
2013-12,13622
2014-01,13893
2014-02,13374
2014-03,14488
2014-04,13601
2014-05,13162
2014-06,12538
2014-07,12766
2014-08,12877
2014-09,11750
2014-10,11437
2014-11,9657
2014-12,8306
2015-01,7140
2015-02,7079
2015-03,8081
2015-04,8139
2015-05,7638
2015-06,7590
2015-07,3986
