det_facility,year,lift_reason,count
PINE PRAIRIE CORRECTIONAL CENTER,2011,Booked into Detention,2
PINE PRAIRIE CORRECTIONAL CENTER,2009,Booked into Detention,42
PINE PRAIRIE CORRECTIONAL CENTER,2008,Booked into Detention,128
PINE PRAIRIE CORRECTIONAL CENTER,2007,Booked into Detention,196
PINE PRAIRIE CORRECTIONAL CENTER,2009,Case Closed,6
PINE PRAIRIE CORRECTIONAL CENTER,2008,Case Closed,8
PINE PRAIRIE CORRECTIONAL CENTER,2007,Case Closed,17
PINE PRAIRIE CORRECTIONAL CENTER,2009,Early Release,1
PINE PRAIRIE CORRECTIONAL CENTER,2007,Early Release,1
PINE PRAIRIE CORRECTIONAL CENTER,2009,Lifted,23
PINE PRAIRIE CORRECTIONAL CENTER,2008,Lifted,52
PINE PRAIRIE CORRECTIONAL CENTER,2007,Lifted,69
PINE PRAIRIE CORRECTIONAL CENTER,2007,Lifted - Lack of Funds,1
PINE PRAIRIE CORRECTIONAL CENTER,2009,Transferred,1
PINE PRAIRIE CORRECTIONAL CENTER,2008,Transferred,3
PINE PRAIRIE CORRECTIONAL CENTER,2007,Transferred,3
PINE PRAIRIE CORRECTIONAL CENTER,2008,United States Citizen Interviewed,1
PINE PRAIRIE CORRECTIONAL CENTER,2009,,18
PINE PRAIRIE CORRECTIONAL CENTER,2008,,90
PINE PRAIRIE CORRECTIONAL CENTER,2007,,187
