"","lift_reason","average"
"1","",47.8467918854674
"2","Alien Not Subject to Deportation",1.1987389189975
"3","Booked into Detention",39.1731046320452
"4","Case Closed",8.99181793825756
"5","Detainer Declined by LEA",1.46213525690897
"6","Died",0.197839492375513
"7","Early Release",2.10257942062097
"8","Lifted",14.547221979045
"9","Lifted - Lack of Funds",0.24538398598421
"10","Lifted - Lack of Space",0.149768304981861
"11","Prosecutorial Discretion",0.158057575016864
"12","Transferred",1.60768814650803
"13","United States Citizen Interviewed",0.296509423683644
