Arizona State Prison-Florence West,ARIZONA,750
Arizona State Prison-Phoenix West,ARIZONA,500
Central Arizona Correctional Facility,ARIZONA,"1,280"
Arizona State Prison-Kingman,ARIZONA,"3,400"
Central Valley Modified Community Correctional Facility,CALIFORNIA,700
Desert View Modified Community Correctional Facility,CALIFORNIA,700
Golden State Modified Community Correctional Facility,CALIFORNIA,700
McFarland Female Community Reentry Facility,CALIFORNIA,300
Bay Correctional Facility,FLORIDA,985
Graceville Correctional Facility,FLORIDA,"1,884"
Moore Haven Correctional Facility,FLORIDA,985
Blackwater River Correctional Facility,FLORIDA,"2,000"
South Bay Correctional Facility,FLORIDA,"1,948"
Riverbend Correctional Facility,GEORGIA,"1,500"
New Castle Correctional Facility,INDIANA,"3,196"
Heritage Trail Correctional Facility,INDIANA,"1,066"
Allen Correctional Center,LOUISIANA,"1,576"
Caldwell Parish Detention Center,LOUISIANA,232
Northeast New Mexico Detention Facility,NEW MEXICO,625
Guadalupe County Correctional Facility,NEW MEXICO,600
Lea County Correctional Facility,NEW MEXICO,"1,200"
North Lake Correctional Facility (MI),MICHIGAN,"1,748"
Lawton Correctional Facility,OKLAHOMA,"2,682"
Lawrenceville Correctional Center,VIRGINIA,"1,536"
