Adelanto Detention Facility,CA,"1,940"
Alexandria Transfer Center,LA,400
Aurora Detention Facility,CO,"1,532"
Big Spring Correctional Center,TX,"3,509"
Brooks County Detention Center,TX,652
Broward Transitional Center,FL,700
Central Texas Detention Facility,TX,688
Coastal Bend Detention Center,TX,"1,176"
D Ray James Correctional Facility,GA,"2,847"
East Hidalgo Detention Center,TX,"1,300"
Great Plains Correctional Facility,OK,"1,940"
Joe Corley Detention Facility,TX,"1,517"
Karnes Correctional Center,TX,679
Karnes County Residential Center,TX,"1,158"
LaSalle Detention Facility,LA,"1,160"
Mesa Verde Detention Facility,CA,400
Moshannon Valley Correctional Center,PA,"1,824"
Northwest Detention Center,WA,"1,575"
Pine Prairie Correctional Center,LA,"1,094"
Queens Detention Facility,NY,222
Reeves County Detention Complex I&II,TX,"2,407"
Reeves County Detention Complex III,TX,"1,356"
Rio Grande Detention Center,TX,"1,900"
Rivers Correctional Institution,NC,"1,450"
Robert A Deyton Detention Facility,GA,768
South Texas Detention Complex,TX,"1,904"
Val Verde Correctional Facility,TX,"1,407"
Western Region Detention Facility,CA,770
